image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
lena_color,512,512,noise,30,4,16,4,11.997803136632697,5.297736382677852,5.297736382677852,7.800495465322744,786572,498268,733660,94053,548.9776000976562,20.735257365497837,0.39431959767338837,131065704.0,0.2725493311882019
lena_color,512,512,noise,30,8,16,4,7.998047351720771,2.695015820645266,2.695015820645266,3.968196446439679,786572,498268,733660,184885,660.4324340820312,19.932519673901716,0.29602495786393895,88346056.0,0.24328403174877167
lena_color,512,512,noise,30,16,16,4,5.997803538743136,1.5037467821132273,1.5037467821132273,2.214147535392982,786572,498268,733660,331351,737.5986328125,19.45260257814931,0.26641447875460317,58185612.0,0.2321508228778839
lena_color,512,512,noise,30,32,16,4,4.797189146984189,0.9666528924818171,0.9666528924818171,1.4233195009477027,786572,498268,733660,515457,779.758056640625,19.211204901844933,0.2571498920425901,37866332.0,0.22540034353733063
lena_color,512,512,noise,30,64,16,4,3.9960975609756098,0.7552043941986635,0.7552043941986635,1.1119784048901222,786572,498268,733660,659779,802.503662109375,19.086333379464335,0.25407894441161455,24216714.0,0.22889748215675354
