image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.05,512,512,noise,30,4,16,4,11.997803136632697,4.984680110576341,4.984680110576341,8.0769518816701,786572,452594,733363,90797,442.0,21.676580915188183,0.39133289205157107,123162768.0,0.24120131134986877
4.2.05,512,512,noise,30,8,16,4,7.998047351720771,2.510547657216395,2.510547657216395,4.06797872163393,786572,452594,733363,180277,618.1806030273438,20.219649870095193,0.2902314892226429,80746256.0,0.238584503531456
4.2.05,512,512,noise,30,16,16,4,5.997803538743136,1.3722163437195862,1.3722163437195862,2.223477762584628,786572,452594,733363,329827,712.6672973632812,19.60193530372524,0.2645980326111171,53398624.0,0.2312762439250946
4.2.05,512,512,noise,30,32,16,4,4.797189146984189,0.9050594815536194,0.9050594815536194,1.466517754478864,786572,452594,733363,500071,744.9802856445312,19.409355806687167,0.2574823921025945,34869684.0,0.22751469910144806
4.2.05,512,512,noise,30,64,16,4,3.9960975609756098,0.7003117867780744,0.7003117867780744,1.1347537812850568,786572,452594,733363,646275,776.2036743164062,19.23104666638659,0.25290610624327586,22086250.0,0.23016326129436493
