image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.03,512,512,noise,10,4,16,4,11.997803136632697,10.196182396606575,10.196182396606575,10.735595616825734,786572,634590,668162,62238,741.7306518554688,19.428341343616705,0.6135032789786609,118284488.0,0.3926667869091034
4.2.03,512,512,noise,10,8,16,4,7.998047351720771,5.846115579139375,5.846115579139375,6.155395259283826,786572,634590,668162,108549,411.4000244140625,21.988160477364964,0.7010442905251755,65321968.0,0.3235684335231781
4.2.03,512,512,noise,10,16,16,4,5.997803538743136,3.758105875316092,3.758105875316092,3.9569226395987185,786572,634590,668162,168859,257.9617004394531,24.015251297981507,0.7743747407654298,39228288.0,0.2806210517883301
4.2.03,512,512,noise,10,32,16,4,4.797189146984189,2.309792202781549,2.309792202781549,2.4319881778706334,786572,634590,668162,274739,186.36767578125,25.427097717726024,0.8124104194113572,24979826.0,0.24586065113544464
4.2.03,512,512,noise,10,64,16,4,3.9960975609756098,1.5463171437761338,1.5463171437761338,1.6281226546585184,786572,634590,668162,410388,154.25730895996094,26.24834610102482,0.8249395408856556,16383109.0,0.23242636024951935
