image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.1.05,256,256,noise,15,4,16,4,11.991217370090267,9.865468592542829,9.865468592542829,13.671397379912664,196748,117478,162799,11908,267.1619873046875,23.863056955307847,0.6641886067053676,62022676.0,0.49139803647994995
4.1.05,256,256,noise,15,8,16,4,7.9921951219512195,5.878897062503127,5.878897062503127,8.146874843617075,196748,117478,162799,19983,154.27914428710938,26.24773139491751,0.6115413814575635,39880140.0,0.30877557396888733
4.1.05,256,256,noise,15,16,16,4,5.991223793271575,2.2241617599727372,2.2241617599727372,3.0822052670440563,196748,117478,162799,52819,188.19952392578125,25.38461840377457,0.5004785275828455,25528254.0,0.23768240213394165
4.1.05,256,256,noise,15,32,16,4,4.788776305533905,1.3448342968347546,1.3448342968347546,1.863648331520806,196748,117478,162799,87355,193.60504150390625,25.26163698655766,0.4861140807226798,16788804.0,0.2236291468143463
4.1.05,256,256,noise,15,64,16,4,3.9844357976653697,0.9532689046309144,0.9532689046309144,1.321023718526092,196748,117478,162799,123237,205.08714294433594,25.0114192586936,0.47713461677013574,10950679.0,0.22268734872341156
