image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,orig_file_bytes,orig_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.07,512,512,clean,0,4,16,4,11.997803136632697,24.46873639021962,16.387699869346108,786572,526799,32146,552.8854370117188,20.704452100840754,0.5741418957955098,82530800.0,0.47129085659980774
4.2.07,512,512,clean,0,8,16,4,7.998047351720771,14.500359480136417,9.711475712047193,786572,526799,54245,241.28216552734375,24.305551388319298,0.6705432846670526,35937296.0,0.43387266993522644
4.2.07,512,512,clean,0,16,16,4,5.997803538743136,8.57131026065731,5.740552262226484,786572,526799,91768,131.5205841064453,26.940866318881554,0.7359124542733904,19780406.0,0.3473958671092987
4.2.07,512,512,clean,0,32,16,4,4.797189146984189,5.434078536491005,3.639421615497278,786572,526799,144748,75.78972625732422,29.334700224146502,0.7922637887423543,11259336.0,0.3134901821613312
4.2.07,512,512,clean,0,64,16,4,3.9960975609756098,3.5419843203299846,2.372209788761252,786572,526799,222071,44.3221321105957,31.66459716963546,0.8457843441550086,6546717.0,0.28745582699775696
