image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,orig_file_bytes,orig_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.03,512,512,clean,0,4,16,4,11.997803136632697,13.482319466584391,10.877256132051215,786572,634590,58341,714.9800415039062,19.587864421237526,0.6315215526803036,107662600.0,0.4120335876941681
4.2.03,512,512,clean,0,8,16,4,7.998047351720771,7.854488082042679,6.336838321200683,786572,634590,100143,372.2796325683594,22.422110842657826,0.724142544578978,55909608.0,0.3496690094470978
4.2.03,512,512,clean,0,16,16,4,5.997803538743136,5.027561168920819,4.056132232250147,786572,634590,156452,209.99559020996094,24.908701859796516,0.8082456568184839,31517258.0,0.3138350546360016
4.2.03,512,512,clean,0,32,16,4,4.797189146984189,3.16340836607721,2.5521723567949746,786572,634590,248647,124.45816802978516,27.180569567986872,0.8679161052397729,18590192.0,0.28587231040000916
4.2.03,512,512,clean,0,64,16,4,3.9960975609756098,2.145118359332388,1.7306370677429912,786572,634590,366680,78.80561065673828,29.165232221788855,0.9076747541372722,11650733.0,0.2545012831687927
