image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,orig_file_bytes,orig_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
lena_color,512,512,clean,0,4,16,4,11.997803136632697,22.48440671183146,14.243146671240316,786572,498268,34983,272.7998962402344,23.772361600678614,0.6954977302798632,41003088.0,0.4859482944011688
lena_color,512,512,clean,0,8,16,4,7.998047351720771,12.462718255854485,7.894730170802041,786572,498268,63114,133.2586669921875,26.883848962314012,0.7681840226137454,19905812.0,0.4054320454597473
lena_color,512,512,clean,0,16,16,4,5.997803538743136,7.757961909082839,4.914418723924686,786572,498268,101389,70.03573608398438,29.677606633703544,0.8060167487067683,10519172.0,0.36281633377075195
lena_color,512,512,clean,0,32,16,4,4.797189146984189,4.818352782627339,3.052271126221324,786572,498268,163245,39.510040283203125,32.16372888393148,0.8640672612006947,5877822.5,0.302886962890625
lena_color,512,512,clean,0,64,16,4,3.9960975609756098,3.183277686719683,2.016503773852162,786572,498268,247095,23.89020347595215,34.34860512160021,0.904963339390097,3538412.25,0.276635080575943
