image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.07,512,512,noise,30,4,16,4,11.997803136632697,7.220479995613975,7.220479995613975,10.018106059567703,786572,526799,730911,72959,831.60595703125,18.93162769221785,0.3414993714747523,165215776.0,0.3392884135246277
4.2.07,512,512,noise,30,8,16,4,7.998047351720771,3.597248113626276,3.597248113626276,4.991027348151183,786572,526799,730911,146445,704.4264526367188,19.652447046310854,0.3152788373998913,107376296.0,0.26347532868385315
4.2.07,512,512,noise,30,16,16,4,5.997803538743136,2.006891559839235,2.006891559839235,2.7844758947789483,786572,526799,730911,262495,763.331298828125,19.30367290770256,0.26682896315360055,70886000.0,0.23970387876033783
4.2.07,512,512,noise,30,32,16,4,4.797189146984189,1.209117053678197,1.209117053678197,1.677598011425581,786572,526799,730911,435689,802.60302734375,19.085795673487272,0.2517099845028592,46183716.0,0.23737642168998718
4.2.07,512,512,noise,30,64,16,4,3.9960975609756098,0.883684845312922,0.883684845312922,1.226074791281899,786572,526799,730911,596139,802.85205078125,19.084448398099607,0.25124662412932475,29445448.0,0.2374267578125
