image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,orig_file_bytes,orig_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.1.05,256,256,clean,0,4,16,4,11.991217370090267,37.63351185921959,22.470925784238716,196748,117478,5228,219.4373779296875,24.717697556510917,0.7421822683224967,33107926.0,0.6669530868530273
4.1.05,256,256,clean,0,8,16,4,7.9921951219512195,25.347590827106416,15.135016748260757,196748,117478,7762,78.89510345458984,29.160303108732112,0.7900641773765439,11837288.0,0.6565777063369751
4.1.05,256,256,clean,0,16,16,4,5.991223793271575,9.05921355557602,5.409245786904871,196748,117478,21718,39.24571228027344,32.19288145257607,0.8883494494390485,5881483.5,0.49977949261665344
4.1.05,256,256,clean,0,32,16,4,4.788776305533905,4.6413776834159,2.771361170087285,196748,117478,42390,22.82712745666504,34.546290971310725,0.9240480479846965,3412349.25,0.31536826491355896
4.1.05,256,256,clean,0,64,16,4,3.9844357976653697,2.9640097018635414,1.7698067159794513,196748,117478,66379,14.600834846496582,36.48702672284773,0.9488279241524623,2176960.25,0.27385008335113525
