image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.03,512,512,noise,30,4,16,4,11.997803136632697,7.578913425135254,7.578913425135254,8.92849721130764,786572,634590,747592,83731,1011.4480590820312,18.08136775524063,0.5288884360675095,192908368.0,0.310227632522583
4.2.03,512,512,noise,30,8,16,4,7.998047351720771,4.3068893669872335,4.3068893669872335,5.073820948399313,786572,634590,747592,147343,824.5126953125,18.96883013850723,0.5381942691894093,124949232.0,0.259250283241272
4.2.03,512,512,noise,30,16,16,4,5.997803538743136,2.511775369489325,2.511775369489325,2.9590494209288885,786572,634590,747592,252646,851.5708618164062,18.828595680932235,0.5164059255444995,82421328.0,0.23956799507141113
4.2.03,512,512,noise,30,32,16,4,4.797189146984189,1.601258620211099,1.601258620211099,1.8863961524777508,786572,634590,747592,396307,860.44189453125,18.783588130334778,0.5111495935135989,53864292.0,0.2301691472530365
4.2.03,512,512,noise,30,64,16,4,3.9960975609756098,1.1201744011579673,1.1201744011579673,1.319644842986002,786572,634590,747592,566510,863.640869140625,18.767471750724575,0.5117715123139461,34658516.0,0.22718340158462524
