image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.1.05,256,256,noise,30,4,16,4,11.991217370090267,5.926647159721521,5.926647159721521,9.288820502472001,196748,117478,184123,19822,502.1427307128906,21.12253180873381,0.42009354028092677,134761904.0,0.34889745712280273
4.1.05,256,256,noise,30,8,16,4,7.9921951219512195,2.8624546185521793,2.8624546185521793,4.486318559489291,196748,117478,184123,41041,621.7024536132812,20.194977795081087,0.2960092256371341,93365248.0,0.2327173799276352
4.1.05,256,256,noise,30,16,16,4,5.991223793271575,1.6879508031839996,1.6879508031839996,2.6455214230293973,196748,117478,184123,69598,711.2843627929688,19.61037099797468,0.2720345078919379,62137840.0,0.2282804697751999
4.1.05,256,256,noise,30,32,16,4,4.788776305533905,1.0288661960729362,1.0288661960729362,1.6125396297139654,196748,117478,184123,114182,755.533935546875,19.348263849926585,0.2655262740569511,40126772.0,0.2246888130903244
4.1.05,256,256,noise,30,64,16,4,3.9844357976653697,0.761395526692721,0.761395526692721,1.193333462956842,196748,117478,184123,154293,798.3163452148438,19.10905339496219,0.2615861719608607,25912248.0,0.22723530232906342
