image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
lena_color,512,512,noise,5,4,16,4,11.997803136632697,12.3578373015873,12.3578373015873,13.541939484126985,786572,498268,546011,40320,278.8099670410156,23.677720657836097,0.6753309225476155,43802936.0,0.4692957103252411
lena_color,512,512,noise,5,8,16,4,7.998047351720771,6.614030663038428,6.614030663038428,7.247773279352227,786572,498268,546011,75335,140.94781494140625,26.64022013304812,0.7379009364287238,22512668.0,0.3778889775276184
lena_color,512,512,noise,5,16,16,4,5.997803538743136,3.9430543025813907,3.9430543025813907,4.320869537692101,786572,498268,546011,126366,80.35107421875,29.080886736184915,0.7599726382574635,12636736.0,0.31438112258911133
lena_color,512,512,noise,5,32,16,4,4.797189146984189,2.3398576178221915,2.3398576178221915,2.564057892067547,786572,498268,546011,212948,52.916683197021484,30.894877459566473,0.7963660606316944,7793227.0,0.26803258061408997
lena_color,512,512,noise,5,64,16,4,3.9960975609756098,1.4806357960674308,1.4806357960674308,1.6225072283320903,786572,498268,546011,336523,41.31770324707031,31.969441887474947,0.8168908144667348,5068608.0,0.2370401918888092
