image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.05,512,512,noise,20,4,16,4,11.997803136632697,5.863528009535161,5.863528009535161,8.888143234699694,786572,452594,686058,77188,313.7571105957031,23.164867839645233,0.5101847627367508,75611040.0,0.28343355655670166
4.2.05,512,512,noise,20,8,16,4,7.998047351720771,2.8225205954437453,2.8225205954437453,4.278476591976352,786572,452594,686058,160351,315.0807189941406,23.14658533037143,0.4190796495350606,50708176.0,0.24769814312458038
4.2.05,512,512,noise,20,16,16,4,5.997803538743136,1.6738562816672213,1.6738562816672213,2.537290580272939,786572,452594,686058,270390,320.8223571777344,23.068157354808584,0.3927962928512055,33378320.0,0.22977016866207123
4.2.05,512,512,noise,20,32,16,4,4.797189146984189,1.0367898033142893,1.0367898033142893,1.5716026701242056,786572,452594,686058,436534,342.4420471191406,22.78493276268493,0.3749939754616511,21574156.0,0.22559170424938202
4.2.05,512,512,noise,20,64,16,4,3.9960975609756098,0.7772469363081826,0.7772469363081826,1.1781784085288785,786572,452594,686058,582304,362.7853698730469,22.534305960176663,0.3648701896017314,13999835.0,0.2203398495912552
