image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.07,512,512,noise,20,4,16,4,11.997803136632697,9.39672148692519,9.39672148692519,12.220363169348222,786572,526799,685098,56062,659.8562622070312,19.936310182485613,0.44529072591923735,121807616.0,0.3897798955440521
4.2.07,512,512,noise,20,8,16,4,7.998047351720771,4.824696853134044,4.824696853134044,6.274480712166172,786572,526799,685098,109188,405.4659118652344,22.05126012582435,0.45267674821292286,72659088.0,0.3040449321269989
4.2.07,512,512,noise,20,16,16,4,5.997803538743136,2.5766894271403977,2.5766894271403977,3.3509645484426356,786572,526799,685098,204448,388.8273620605469,22.233235419238977,0.40340452195873916,48840412.0,0.249978706240654
4.2.07,512,512,noise,20,32,16,4,4.797189146984189,1.5393262366791634,1.5393262366791634,2.0018817919100482,786572,526799,685098,342227,377.8836975097656,22.357222046859334,0.3852948394873171,31930182.0,0.2377331256866455
4.2.07,512,512,noise,20,64,16,4,3.9960975609756098,1.0330931668248602,1.0330931668248602,1.3435296240224033,786572,526799,685098,509924,381.2002258300781,22.319272116174456,0.37620729355037547,20447252.0,0.23219548165798187
