image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.05,512,512,noise,10,4,16,4,11.997803136632697,8.36108699266594,8.36108699266594,11.142432247695405,786572,452594,603151,54131,232.1419677734375,24.47326699408996,0.6987571452258456,42737272.0,0.40047168731689453
4.2.05,512,512,noise,10,8,16,4,7.998047351720771,4.4486666601138225,4.4486666601138225,5.928531409418403,786572,452594,603151,101737,117.1748046875,27.442461225776185,0.717381131206232,23690982.0,0.2823317050933838
4.2.05,512,512,noise,10,16,16,4,5.997803538743136,2.149824724737087,2.149824724737087,2.864971547457321,786572,452594,603151,210526,103.28506469726562,27.99042834977624,0.6475412123829948,15324058.0,0.24182462692260742
4.2.05,512,512,noise,10,32,16,4,4.797189146984189,1.297448069855576,1.297448069855576,1.7290487739153866,786572,452594,603151,348834,93.9327621459961,28.40263267668702,0.6273246997793259,9473641.0,0.22898569703102112
4.2.05,512,512,noise,10,64,16,4,3.9960975609756098,0.9385691504032417,0.9385691504032417,1.2507875085283182,786572,452594,603151,482217,97.24298095703125,28.252220973137835,0.6140918590425887,6205424.5,0.2254294455051422
