image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.1.05,256,256,noise,20,4,16,4,11.991217370090267,7.829778725673154,7.829778725673154,11.462743268461743,196748,117478,171987,15004,319.2900695800781,23.088949493552132,0.6124336946479289,82439640.0,0.4318085014820099
4.1.05,256,256,noise,20,8,16,4,7.9921951219512195,3.4616495270648553,3.4616495270648553,5.067831570262546,196748,117478,171987,33937,322.2092590332031,23.0494234468151,0.4103026433263957,57259192.0,0.23528631031513214
4.1.05,256,256,noise,20,16,16,4,5.991223793271575,1.9867413032081311,1.9867413032081311,2.9085758739070875,196748,117478,171987,59131,308.714111328125,23.235238793227484,0.4023680498048548,36499752.0,0.23277802765369415
4.1.05,256,256,noise,20,32,16,4,4.788776305533905,1.2110759461047595,1.2110759461047595,1.773007020401431,196748,117478,171987,97003,344.6278076171875,22.75730043625143,0.38234098459630933,23982166.0,0.22220870852470398
4.1.05,256,256,noise,20,64,16,4,3.9844357976653697,0.867201110225293,0.867201110225293,1.2695765789706794,196748,117478,171987,135468,361.7580261230469,22.54662185521113,0.37640442133366064,15711911.0,0.22179800271987915
