image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
lena_color,512,512,clean,0,4,16,4,11.997803136632697,14.243146671240316,,786572,498268,,34983,272.7998962402344,23.772361600678614,0.6954977302798632,41003088.0,0.4859482944011688
lena_color,512,512,clean,0,8,16,4,7.998047351720771,7.894730170802041,,786572,498268,,63114,133.2586669921875,26.883848962314012,0.7681840226137454,19905812.0,0.4054320454597473
lena_color,512,512,clean,0,16,16,4,5.997803538743136,4.914418723924686,,786572,498268,,101389,70.03573608398438,29.677606633703544,0.8060167487067683,10519172.0,0.36281633377075195
lena_color,512,512,clean,0,32,16,4,4.797189146984189,3.052271126221324,,786572,498268,,163245,39.510040283203125,32.16372888393148,0.8640672612006947,5877822.5,0.302886962890625
lena_color,512,512,clean,0,64,16,4,3.9960975609756098,2.016503773852162,,786572,498268,,247095,23.89020347595215,34.34860512160021,0.904963339390097,3538412.25,0.276635080575943
lena_color,512,512,noise,5,4,16,4,11.997803136632697,12.3578373015873,13.541939484126985,786572,498268,546011,40320,278.8099670410156,23.677720657836097,0.6753309225476155,43802936.0,0.4692957103252411
lena_color,512,512,noise,5,8,16,4,7.998047351720771,6.614030663038428,7.247773279352227,786572,498268,546011,75335,140.94781494140625,26.64022013304812,0.7379009364287238,22512668.0,0.3778889775276184
lena_color,512,512,noise,5,16,16,4,5.997803538743136,3.9430543025813907,4.320869537692101,786572,498268,546011,126366,80.35107421875,29.080886736184915,0.7599726382574635,12636736.0,0.31438112258911133
lena_color,512,512,noise,5,32,16,4,4.797189146984189,2.3398576178221915,2.564057892067547,786572,498268,546011,212948,52.916683197021484,30.894877459566473,0.7963660606316944,7793227.0,0.26803258061408997
lena_color,512,512,noise,5,64,16,4,3.9960975609756098,1.4806357960674308,1.6225072283320903,786572,498268,546011,336523,41.31770324707031,31.969441887474947,0.8168908144667348,5068608.0,0.2370401918888092
lena_color,512,512,noise,10,4,16,4,11.997803136632697,10.074364625245153,12.247477708809317,786572,498268,605748,49459,296.39501953125,23.412094591593654,0.6327621753450913,52172320.0,0.4297826588153839
