image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_bytes,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.05,512,512,noise,5,4,16,4,11.997803136632697,12.845376624850996,12.845376624850996,15.20301413407504,786572,452594,535663,35234,210.5986328125,24.896248134102482,0.7952981252947223,33851348.0,0.48460665345191956
4.2.05,512,512,noise,5,8,16,4,7.998047351720771,5.688498422633637,5.688498422633637,6.732564131568694,786572,452594,535663,79563,94.90251922607422,28.35802619763472,0.8110767107261285,15639987.0,0.3682795464992523
4.2.05,512,512,noise,5,16,16,4,5.997803538743136,3.5574577123813116,3.5574577123813116,4.21039269320254,786572,452594,535663,127224,48.98661804199219,31.230029033752512,0.8530882200969044,8565312.0,0.30470287799835205
4.2.05,512,512,noise,5,32,16,4,4.797189146984189,1.7245815186120859,1.7245815186120859,2.041110818977507,786572,452594,535663,262437,36.19693374633789,32.54408577999013,0.8389361311328449,5147040.5,0.24579843878746033
4.2.05,512,512,noise,5,64,16,4,3.9960975609756098,1.1316321121745827,1.1316321121745827,1.3393316131097042,786572,452594,535663,399948,31.4029541015625,33.16109856436046,0.8315728914414091,3274167.0,0.22747749090194702
